Station names,capacity %,bike count in an hour,station capacity,x cord,y cord
A,46%,35,76,81,34
B,92%,65,71,47,10
C,162%,68,42,79,97
D,78%,69,89,66,32
E,63%,40,64,95,69
F,102%,49,48,4,75
G,93%,65,70,52,90
H,75%,56,75,18,15
I,6%,3,47,89,98
J,71%,63,89,74,42
K,84%,57,68,58,37
L,62%,57,92,44,54
M,39%,32,82,95,18
N,118%,58,49,52,23
NCDP,19%,13,69,76,96
QEYJ,81%,35,43,30,63
RTIH,53%,17,32,27,18
UDXY,75%,33,44,55,20
CVRP,57%,27,47,77,65
GETX,53%,20,38,27,22
RYPR,185%,74,40,62,28
DLED,148%,37,25,36,74
HBWL,82%,27,33,80,20
LJYL,117%,41,35,48,46
CGHU,14%,9,66,42,18
YEOD,68%,23,34,29,79
LXZI,15%,5,34,69,26
